"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"824",320568342,"10/12/2016",105,"ROBBERY",398,"ROBBERY,PUBLIC PLACE INSIDE","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","CLOTHING/BOUTIQUE",NA,40.75473732,-73.989757926,"(40.75473732, -73.989757926)","2016","12","10"
"825",434582345,"10/12/2016",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","DRUG STORE",NA,40.771037439,-73.982264048,"(40.771037439, -73.982264048)","2016","12","10"
"826",380909875,"10/12/2016",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","FRONT OF","RESIDENCE - APT. HOUSE",NA,40.731465013,-74.002058096,"(40.731465013, -74.002058096)","2016","12","10"
"827",813500792,"10/12/2016",107,"BURGLARY",211,"BURGLARY,COMMERCIAL,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,NA,NA,40.754162455,-73.980395269,"(40.754162455, -73.980395269)","2016","12","10"
"828",231769945,"10/12/2016",126,"MISCELLANEOUS PENAL LAW",760,"BRIBERY,PUBLIC ADMINISTRATION","COMPLETED","FELONY","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.813110846,-73.94542256,"(40.813110846, -73.94542256)","2016","12","10"
"829",922861148,"10/12/2016",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT",NA,"STREET",NA,40.758316448,-73.962927142,"(40.758316448, -73.962927142)","2016","12","10"
"830",881651643,"10/12/2016",343,"OTHER OFFENSES RELATED TO THEF",476,"CREDIT CARD,UNLAWFUL USE OF","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.741668473,-73.981088208,"(40.741668473, -73.981088208)","2016","12","10"
"831",102019342,"10/12/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE",NA,NA,40.770458781,-73.98573367,"(40.770458781, -73.98573367)","2016","12","10"
"832",960541915,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.818245175,-73.9379325,"(40.818245175, -73.9379325)","2016","12","10"
"833",977088380,"10/12/2016",107,"BURGLARY",211,"BURGLARY,COMMERCIAL,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.747521791,-73.996876033,"(40.747521791, -73.996876033)","2016","12","10"
"834",271816188,"10/12/2016",235,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.7986333,-73.941620371,"(40.7986333, -73.941620371)","2016","12","10"
"835",586618110,"10/12/2016",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.710228568,-74.007745689,"(40.710228568, -74.007745689)","2016","12","10"
"836",529117329,"10/12/2016",678,"MISCELLANEOUS PENAL LAW",566,"MARIJUANA, POSSESSION","COMPLETED","VIOLATION","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.746425245,-73.981833914,"(40.746425245, -73.981833914)","2016","12","10"
"837",267019237,"10/12/2016",117,"DANGEROUS DRUGS",520,"CONTROLLED SUBSTANCE, SALE 4","COMPLETED","FELONY","PORT AUTHORITY","FRONT OF","STREET",NA,40.757578112,-73.989544524,"(40.757578112, -73.989544524)","2016","12","10"
"838",798061323,"10/12/2016",236,"DANGEROUS WEAPONS",782,"WEAPONS, POSSESSION, ETC","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.751449824,-73.976050545,"(40.751449824, -73.976050545)","2016","12","10"
"839",835423084,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.76521663,-73.972327311,"(40.76521663, -73.972327311)","2016","12","10"
"840",166150472,"10/12/2016",361,"OFF. AGNST PUB ORD SENSBLTY &",661,"LEWDNESS,PUBLIC","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.758381891,-73.970994593,"(40.758381891, -73.970994593)","2016","12","10"
"841",945274096,"10/12/2016",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.74334778,-73.978359479,"(40.74334778, -73.978359479)","2016","12","10"
"842",675438505,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","ATTEMPTED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"PARK/PLAYGROUND","CENTRAL PARK",40.789483789,-73.957395333,"(40.789483789, -73.957395333)","2016","12","10"
"843",958769892,"10/12/2016",126,"MISCELLANEOUS PENAL LAW",110,"MENACING 1ST DEGREE (VICT PEAC","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,"PARK/PLAYGROUND","COLUMBUS PARK AT MANHATTAN",40.714153839,-74.000008661,"(40.714153839, -74.000008661)","2016","12","10"
"844",411126419,"10/12/2016",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","BANK",NA,40.766706163,-73.981785062,"(40.766706163, -73.981785062)","2016","12","10"
"845",650860435,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.820974294,-73.939566649,"(40.820974294, -73.939566649)","2016","12","10"
"846",416434532,"10/12/2016",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.804879355,-73.951418231,"(40.804879355, -73.951418231)","2016","12","10"
"847",256635228,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","OPPOSITE OF",NA,NA,40.755357591,-73.989310259,"(40.755357591, -73.989310259)","2016","12","10"
"848",364387008,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","REAR OF","RESIDENCE - APT. HOUSE",NA,40.836194241,-73.946115551,"(40.836194241, -73.946115551)","2016","12","10"
"849",994940729,"10/12/2016",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.86892531,-73.922790005,"(40.86892531, -73.922790005)","2016","12","10"
"850",989686149,"10/12/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","HOTEL/MOTEL",NA,40.793037195,-73.971976268,"(40.793037195, -73.971976268)","2016","12","10"
"851",846478568,"10/12/2016",341,"PETIT LARCENY",339,"LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","RESIDENCE - APT. HOUSE",NA,40.790638405,-73.948431191,"(40.790638405, -73.948431191)","2016","12","10"
"852",885508571,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","GROCERY/BODEGA",NA,40.849248803,-73.936736074,"(40.849248803, -73.936736074)","2016","12","10"
"853",726673137,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","RESIDENCE - APT. HOUSE",NA,40.728603288,-73.980164659,"(40.728603288, -73.980164659)","2016","12","10"
"854",408888977,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","REAR OF","RESIDENCE - APT. HOUSE",NA,40.836194241,-73.946115551,"(40.836194241, -73.946115551)","2016","12","10"
"855",229928643,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","OPPOSITE OF","PARK/PLAYGROUND","J. HOOD WRIGHT PARK",40.84678706,-73.942474487,"(40.84678706, -73.942474487)","2016","12","10"
"856",425586741,"10/12/2016",107,"BURGLARY",223,"BURGLARY,RESIDENCE,NIGHT","ATTEMPTED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.86892531,-73.922790005,"(40.86892531, -73.922790005)","2016","12","10"
"857",172169294,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","GROCERY/BODEGA",NA,40.836520601,-73.940025943,"(40.836520601, -73.940025943)","2016","12","10"
"858",959449265,"10/12/2016",118,"DANGEROUS WEAPONS",793,"WEAPONS POSSESSION 3","COMPLETED","FELONY","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.719404551,-74.001884563,"(40.719404551, -74.001884563)","2016","12","10"
"859",846316914,"10/12/2016",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.71949207,-73.991285709,"(40.71949207, -73.991285709)","2016","12","10"
"860",784025165,"10/12/2016",121,"CRIMINAL MISCHIEF & RELATED OF",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","SMALL MERCHANT",NA,40.759139936,-73.990266211,"(40.759139936, -73.990266211)","2016","12","10"
"861",264534036,"10/12/2016",359,"OFFENSES AGAINST PUBLIC ADMINI",750,"RESISTING ARREST","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.794659285,-73.971787782,"(40.794659285, -73.971787782)","2016","12","10"
"862",836489343,"10/12/2016",352,"CRIMINAL TRESPASS",205,"TRESPASS 2, CRIMINAL","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.816057056,-73.954321942,"(40.816057056, -73.954321942)","2016","12","10"
"863",161834097,"10/12/2016",235,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.864758883,-73.92282738,"(40.864758883, -73.92282738)","2016","12","10"
"864",391973806,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESTAURANT/DINER",NA,40.731393662,-74.001184922,"(40.731393662, -74.001184922)","2016","12","10"
"865",836587985,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESTAURANT/DINER",NA,40.731393662,-74.001184922,"(40.731393662, -74.001184922)","2016","12","10"
"866",628005388,"10/12/2016",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.819150527,-73.937183784,"(40.819150527, -73.937183784)","2016","12","10"
"867",644121099,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.823557086,-73.939589595,"(40.823557086, -73.939589595)","2016","12","10"
"868",113896493,"10/12/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.737203099,-73.983272598,"(40.737203099, -73.983272598)","2016","12","10"
"869",558643006,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.795694944,-73.93873725,"(40.795694944, -73.93873725)","2016","12","10"
"870",938380633,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.795694944,-73.93873725,"(40.795694944, -73.93873725)","2016","12","10"
"871",718196719,"10/12/2016",232,"POSSESSION OF STOLEN PROPERTY",490,"STOLEN PROPERTY 3,POSSESSION","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","OTHER",NA,40.778503827,-73.948195059,"(40.778503827, -73.948195059)","2016","12","10"
"872",137305166,"10/12/2016",118,"DANGEROUS WEAPONS",793,"WEAPONS POSSESSION 3","COMPLETED","FELONY","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.713143696,-74.004059506,"(40.713143696, -74.004059506)","2016","12","10"
"873",580094976,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.783256098,-73.944724838,"(40.783256098, -73.944724838)","2016","12","10"
"874",695126466,"10/12/2016",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.776412362,-73.948250846,"(40.776412362, -73.948250846)","2016","12","10"
"875",592184953,"10/12/2016",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.823655302,-73.943845803,"(40.823655302, -73.943845803)","2016","12","10"
"876",583432235,"10/12/2016",106,"FELONY ASSAULT",109,"ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.847734406,-73.933079677,"(40.847734406, -73.933079677)","2016","12","10"
"877",902653156,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.816954834,-73.942608656,"(40.816954834, -73.942608656)","2016","12","10"
"878",121512447,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.799196819,-73.933081517,"(40.799196819, -73.933081517)","2016","12","10"
"879",181770639,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.799196819,-73.933081517,"(40.799196819, -73.933081517)","2016","12","10"
"880",663529095,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.810799905,-73.935056702,"(40.810799905, -73.935056702)","2016","12","10"
"881",553512405,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.800380481,-73.950789433,"(40.800380481, -73.950789433)","2016","12","10"
"882",548279921,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.800380481,-73.950789433,"(40.800380481, -73.950789433)","2016","12","10"
"883",641590715,"10/12/2016",351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.800380481,-73.950789433,"(40.800380481, -73.950789433)","2016","12","10"
"884",793915060,"10/12/2016",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.808455592,-73.94499651,"(40.808455592, -73.94499651)","2016","12","10"
"885",615046363,"10/12/2016",105,"ROBBERY",389,"ROBBERY,DWELLING","COMPLETED","FELONY","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.711481696,-73.981475515,"(40.711481696, -73.981475515)","2016","12","10"
"886",104017284,"10/12/2016",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","BAR/NIGHT CLUB",NA,40.86209525,-73.925057462,"(40.86209525, -73.925057462)","2016","12","10"
"887",329979005,"10/12/2016",109,"GRAND LARCENY",404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,"STREET",NA,40.732263698,-73.996353559,"(40.732263698, -73.996353559)","2016","12","10"
"888",461581849,"10/12/2016",111,"POSSESSION OF STOLEN PROPERTY",494,"STOLEN PROPERTY 2,1,POSSESSION","COMPLETED","FELONY","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.79481676,-73.944408254,"(40.79481676, -73.944408254)","2016","12","10"
